Name,Calcium,Carbohydrate,Cholesterol,Energy,Fat,Folate,Iron,Magnesium,Niacin,Phosphorus,Potassium,Protein,Riboflavin,Saturated fatty acids,Sodium,Thiamin,Total Fiber,Trans fatty acids,Vitamin A,Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
5 Minute Gluten Free Wonder Buns,312.85469791700376,21.756276041610537,186.0,284.403062498463,15.351744791571784,32.5166666666812,3.443770833341742,61.93877083410092,0.7804619791656158,442.723210416225,281.8906416699014,13.04969583325806,0.2540005208334311,2.8141203124944245,255.92295625010289,0.1121601562498387,4.519933333297363,0.0192012499999965,80.0,0.445,0.206121770834945,0.1207499999979585,1.0,0.5483958333333787,0.1723958333344692,1.5138240625022696
Almond and cranberry shortbread,45.33790011642438,28.717490671487475,65.63800043344499,328.0149502919244,21.144235858184658,15.42372507486965,0.8003913353270208,39.93316674196781,0.7189590676354242,98.0234586209814,130.017275237388,5.303773345547599,0.1706151754062159,9.362543754905689,4.477341691214486,0.0559661417925363,2.4664875027194304,0.0019943750051315,126.87160015290976,0.081420000782609,0.0421887085118537,1.933450005882818,0.1454400021672248,3.869388007486242,1.81585333361427,0.618936251732826
Apple Roasted Pork Loin,54.54002695121722,45.10662067344589,142.90499702095985,697.5992833306569,35.6336460740459,3.4023210671567057,2.2434762063828164,55.52583510114009,10.588920502565706,464.30575411054,970.7620348217204,45.37952640438003,0.6055175059851772,10.881240628947245,195.67099569109743,2.0665534574908166,3.1536321161004213,0.0,9.84658324352652,1.2022166416049005,1.1325397480238728,2.0050260943168934,1.134166643023491,1.637063323501945,7.772833345651627,4.102994769193929
Baked Oatmeal with Dried Cranberries,160.3985988770545,22.04900126380621,35.546666931509975,161.15139851518353,3.674522214293904,27.06546005729711,1.8575972834018748,63.90957782580879,0.5156070322431067,288.9357336561058,262.759285217369,6.5080448372679935,0.1184065126817418,0.8006838853593736,180.39119858248816,0.2554474076293559,4.726211189014014,0.0040199724111032,20.16426990755672,0.0850444450780749,0.1608890890401266,4.145720074886083,0.1911111125349998,0.9818574572861772,1.0150333595000207,1.325134632995891
Beef Braised In Red Wine,50.44328850928692,4.528290741382668,118.23533056259156,364.1138148692045,16.18452354662706,15.722445483682082,5.332533142495113,57.80986476671567,8.646996368828539,449.3442638151908,890.565093335681,38.6689473274623,0.4036126901779715,5.68636463717471,557.3997080893819,0.2142787203700419,1.1547781250042568,0.4410456150209903,79.53128481801294,4.596198558211326,1.0969204252585318,5.366140625022737,0.0566990013122558,0.7983645375987827,8.115343640935336,11.799189256306796
Beef Cottage Pie,86.65822203511067,15.79819378026484,43.49787435994079,272.1010542152775,14.98862638300752,30.2376056802158,2.561194076914765,38.54304205681943,3.779759780771531,188.0690789390756,571.6932448919242,14.958814432583903,0.1775606286128871,5.340874843368287,486.3518350014269,0.143142390527771,3.5450217183296733,0.6824707154846191,127.45231256882592,1.2842348465242082,0.4147858916187616,16.547605525445334,0.0741255149838362,0.530053087161913,5.697580113647614,3.1705985202372293
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",311.3672414194782,52.220247565769625,225.0,1070.6432956034485,61.94919834645604,64.25118341574368,7.036179077962292,148.28382732646057,23.33900328201808,733.4344840240531,1543.412710540838,67.52299231719994,0.632792469568898,15.28861272233584,1412.7488087819422,0.5832154302520905,8.956953888448274,0.291,222.3225,0.947009700012207,2.909759459238718,127.0295893188726,0.6000000000000001,4.408741318766372,35.39732437795003,6.091778763783805
Bittersweet chocolate pudding,118.60889315882704,26.241942810879863,45.224799925002266,204.70993800677385,9.211846376717526,12.291066083149518,2.1659801894866435,81.0313806076139,0.3974590362733344,191.38164161668385,341.0753400363204,6.402181596585827,0.2144954336696827,5.331852634134271,98.74596999035376,0.0529457411185392,5.327333216428351,0.0027233334144949,82.4280759116599,0.449295949363983,0.0596179424421649,0.0,1.2337905184722593,0.258113596987714,0.9628106340501548,1.387332537850337
Blackberry Pie With Lemon Verbena Whip Cream,66.83857054426183,36.54955486509325,56.42760472580492,534.8071201068651,39.3175066602092,95.1627838774747,2.152261438699163,27.99729082086456,2.9609440632286423,86.56953981421533,226.76658339700148,6.8587767231245405,0.2536138365587899,15.835288605995164,167.25565300995785,0.2785931550799758,5.0487911870304965,0.0,150.56759012466966,0.0985844589194158,0.0716791142337406,30.200751321698423,0.2885113766503334,1.5088362525770922,22.510092145167324,0.7863313165626591
Broccolini Quinoa Pilaf,231.3720361938892,66.65071453636273,0.0,681.642793797851,31.650607613008745,384.6157268930528,7.126902848232976,283.39270561558675,3.644489418667042,702.7924829781995,1639.762505212866,25.47073867366589,0.6848085940668837,3.646508347552424,142.8228794105018,0.6419771585893753,16.560173859532135,0.0,103.1998745755256,0.0001377659155086,1.1704306777152396,275.5890846058175,0.0008252426362711,5.651276279933394,318.553433365967,4.879278167363435
Chocolate Banana Zucchini Cake,97.50305166800986,100.34675354399631,77.003125,586.6059416864124,18.770992709592985,108.27180093804648,3.4584741553397067,66.24278073399624,2.276501211580489,162.91672875554332,362.5339109528389,7.071388187676388,0.2719374135454493,10.995989438247388,365.5746232296282,0.2758657828148138,4.334805489831063,0.00475,119.026375,0.13536875,0.1485615890639699,4.0327375,0.25,0.6135510187609201,2.919526750235165,1.11519102715135
Chocolate Hazelnut Mousse,144.61321488950807,40.91674865287045,100.25738698369312,763.1926396325732,62.86986445086595,51.41605899040461,3.897613359094816,102.7088912238757,1.1860814527389942,230.20102460365604,518.7960555174059,9.69135908562724,0.2517275101169852,32.353904420362895,100.47990338072756,0.2726902706090854,6.096500000000001,0.0,252.490864580634,0.2896696161868344,0.2346090795994926,2.435892181894087,0.5409588485605032,7.256152977888751,8.437281485189057,1.6929265668059696
Classic Carrot Cake With Cream Cheese Frosting,220.25992669121385,62.851399794422,211.6248239925248,1077.8546995752768,86.31716510117555,42.01158127353867,1.7571875301349853,50.28852810753328,1.2959761766055988,356.8874171161472,444.97377126403126,13.0769404300548,0.3583296068909151,29.64893162170756,686.0018772772346,0.243422041003874,4.620973068237305,0.8707650771526918,884.1526168439387,0.4294360995800129,0.2173841159054547,3.743783997818391,0.5,7.732024635061959,11.672684278936044,2.013227489657325
Classic Macaroni and Cheese,776.4273554437586,126.79321997442388,153.59771087314468,1217.1024481446202,55.77971940935102,65.88483393293342,2.559213908952777,123.41398724505112,3.154947462786709,797.7806609772864,658.3717252641013,45.04628720402168,0.7503339084974745,32.196978086973225,1013.4385760591728,0.2843842063932806,5.527930123459696,1.1367500317172683,485.50754936709353,1.4492244097129654,0.3503765900688119,0.2345112945645315,3.117703952024457,1.5502028608518514,6.45093221756686,5.727225665215156
Creamy Mushrooms Over Soba Noodles (Vegan),135.26414540577431,82.22498381456953,0.0,560.9937305991604,7.331246736958651,111.13918380727696,4.482799603690087,121.59949256896246,12.52319293136402,549.8201813710326,1340.5906299549852,21.576998567932577,1.2598434280699051,1.728085803893992,776.8393597009394,0.6643394016415864,3.423168197007664,0.0,50.73819611105856,0.1550388000488281,0.601172655273423,17.965037002563477,1.207148776228956,0.4841518875121311,1.359359374999901,3.526225626678236
Crispy Panko and Herb Crusted Salmon,59.18827475142479,12.543366723725198,83.15862197875977,482.23845675238965,32.15175773397625,63.47918232287467,1.3587731565134231,49.9584903255254,13.50682778064266,378.5178204079419,676.0144068214298,32.92352222334146,0.2629494504287839,6.191118601434678,310.95652761563656,0.3403468141291738,1.519716686655581,0.0,153.21321459311247,4.883679072570801,1.0626804008693398,42.59836977863311,16.631724395751956,7.501484419102073,95.3649876871854,0.6941926489023863
Curried Cauliflower Gratin,84.17799722084723,11.633831095600868,10.176666969954969,288.23750125411897,24.22289082043288,106.08907686724896,4.318480969900378,71.11260797612199,1.5759399148533937,164.45599893491345,711.2570724089835,5.860711036653912,0.1166768054531638,16.417157050267647,388.6509605982448,0.1322993998546686,5.82282925498278,0.0,37.26401499825408,0.0152363734834553,0.3492926737931335,74.96637231420979,0.0,2.0082997164039864,32.2088849404374,1.1256284432205377
Easy Eclairs,219.10140774850885,104.281899230251,382.26603625154326,1236.1480759266406,84.06833307578694,123.10972365145584,3.701320874547901,53.723245223356216,3.024302246180978,349.18749256663955,444.920677059398,18.59993458283129,0.714409424524757,39.651635942982566,544.5773237780262,0.3727888302468744,2.398166667580199,0.8785266704079462,562.2586111253923,1.1336478954941842,0.1856865702954918,0.4198225822983707,3.783131712633062,2.890203041534708,14.246018656555508,1.992536422077172
Fenugreek Roti,34.477024462492906,14.319961391789125,33.67812500592579,223.99293100614,14.744035796827353,61.11133304114836,4.760181329682689,45.49322780047152,0.5168955365669246,85.12457009417243,213.3161449350003,6.249095767157871,0.066512754339871,8.385895742010915,108.26956246164356,0.1065381432431171,4.5291690844591255,0.0,114.57785707313472,0.0126312501686571,0.1396276504772922,0.4889345038741101,0.003062500045583,0.5534140012846577,2.455165003384918,0.7175281178054393
Fresh Herb Omelette,221.89175,3.765975000000001,328.42,314.71975000000003,25.512585,62.33825,2.2516975,29.599750000000004,0.6122650000000002,281.3605,347.4225,16.339550000000003,0.461785,6.5085575,275.605,0.073453,1.3884250000000002,0.03268,209.04075,0.9154,0.2279097499999999,12.386,1.7825,3.4219900000000005,57.9345,1.6585275
Grilled Guacamole with Pistachios,45.50220833333617,13.382587500000035,0.0,267.11866666666765,18.76294083333335,112.69535416666928,1.704898125000075,61.15872916666776,2.946377500000047,145.109062500002,823.1329166666887,6.160587500000091,0.2096479375000068,2.6854372916666667,322.6982083333353,0.2274923333333361,10.805558333333453,0.0,140.69289583334756,0.0,0.5250849166666729,28.014481250001143,0.0,2.638508958333439,25.49942083334644,1.228099791666688
"Guf"" Danish Ice Cream Topping",5.917856791366946,15.626875034570356,0.0,71.10503654689805,0.1176669643521769,7.936177311617672,0.138370562439318,5.55383559247096,0.1281210394951189,9.347077818768796,71.69417836778017,1.899138899376739,0.0777106694758342,0.0052690917651374,26.4159102359251,0.0080378439782894,0.5746150131229454,0.0,0.2834950065612793,0.0140391859677266,0.0152733867510909,17.65313138585311,0.0,0.0860260519029643,0.6236890144348145,0.0470148629078857
Hard-Boiled Egg Gratin In A Bechamel Sauce,332.6341733213694,13.42005725450268,375.9102786776188,384.7823511031318,27.75795521662052,58.150807733398544,1.7896656178784025,35.675477900194245,0.3079534636722895,374.4396616153592,406.50057468998887,19.368706045167134,0.6938479707944865,14.496356013293324,711.9261055334586,0.1338694271258686,1.0417569679630363,0.03268,329.9874803864956,1.6210855051134323,0.2628444384975935,3.0847917586024964,3.742266994100717,1.3844463165046592,3.773448198565372,2.153315111522036
Healthy Mint Brownies,104.23670523413368,51.53605754574098,1.836154568632046,331.87403666093513,9.509763024205952,165.6252717608798,3.3650563038148893,113.12606352890172,1.165901759422233,241.9026737869293,846.4949141931171,10.42879867027255,0.1147406083157106,4.262149119040026,169.19666419851183,0.3527666185035228,10.04494708268986,0.0170784654304757,7.9511262272207235,0.0023349827084937,0.1431975376656735,4.72881238465563,0.0200000005960464,0.8114062378245469,5.729397064348573,2.0610720786191377
Healthy Vegan Red Velvet Brownies,121.31037499999483,50.91014374998685,0.0,298.22668749994585,4.402559999999871,98.79874999999612,3.5297731249997035,63.956124999996135,0.6564668749998918,177.75974999999357,482.9870624999046,8.775216249999783,0.0678431249999613,0.8432962499999896,114.93649999999744,0.1259378749999664,10.920612499998583,0.0,0.2462499999987108,0.0,0.1190497499999651,3.0286249999726698,0.0,0.0696499999997937,4.393249999999355,1.0287837499999613
Jalapeno Cheese Quick Bread,173.9983218020419,12.750850870632494,24.23172124097449,119.7972469514727,5.2753176545046605,30.465652045730263,0.6742126677539891,8.79397062905778,0.6132525619584706,194.56045747289943,56.42716951001618,4.709492052197938,0.1269450787330317,2.3672344613712,164.51856986509293,0.0828900395365023,0.4950708311764831,0.0013616667072474,46.261915632631705,0.2065399282521171,0.0366010272960854,3.371666572093964,0.3334653394794599,0.4014399657308352,1.5314807959674903,0.5588070057506606
Jalapeno Cornbread Stuffing,489.5270681822707,85.25952696330796,82.54116693815928,610.8867985210975,23.225635440671827,234.9841451928523,5.136648669414236,64.32365522330707,4.869228212981475,363.39614944957646,411.4549312402228,14.54379994223492,0.6052412049430785,5.0960028326824665,1289.097511698132,0.6365784096864558,1.5984099755980077,0.0,184.1215899020668,0.2887780010733008,0.2961403214369211,7.361957982366013,0.0,0.4188956688411872,6.145012930369232,1.6729774279970768
Julia Child's Boeuf Bourguignon,88.66654409281726,18.816844191853782,166.34396056209067,591.433113618226,26.1506696105023,58.8637292203815,6.130353507853287,87.44535132238073,17.322312450909315,722.2630039982249,1791.9841250861905,58.57959175351829,0.9884037000259668,9.738858358214245,1549.757361268035,0.4363088360918636,3.0472682952867487,0.5981303270506859,179.8694861865377,5.344619276974201,1.7164126543885052,19.678730481726635,0.396847123503685,1.4258709109843886,11.696750019873804,13.992634484507652
Knishes - Potato Filling,96.78085583892356,53.822131031660106,225.24,1023.5495301583009,81.15899188589931,90.67606431655204,3.3259137208969367,83.67601755144989,3.048740545036345,284.4681944028978,1434.540523764202,12.71225128992878,0.3262263372086444,24.37614885719426,1271.5967159123695,0.307274197309381,8.495419004317288,0.01634,68.99575,0.3827,1.0607403277555003,64.29822946907169,4.5464,2.591268542877702,7.283708575540273,1.6372456796047157
Korean Beef Rice Bowl,165.97157246063128,572.382307338991,77.11064178466796,2873.7934789056208,21.83567068742346,117.8083541962462,8.927042600499371,309.75404360608746,20.420865570527848,1054.6649982338784,1337.510090371066,73.93718794406682,0.5853814628167903,5.984941845912411,2305.783626628668,0.6803871036050514,3.518095520019531,0.013825,269.6103055000305,1.3380964309692382,1.8749120937311972,13.223537546157836,0.1133980026245117,1.6129973819240715,57.711347333797605,13.09440970501296
Mango Banana Coconut Smoothie,27.7056984009168,24.215566644355757,0.0,170.08260816301916,7.954582126255368,30.62484271209273,1.8928736392790009,39.59347388247531,0.9713365934002196,59.21927859720729,378.8382426186001,1.7359665913162368,0.04585,6.880162661325186,9.271352403625729,0.03665082426186,2.68625,0.00042,24.285000000000004,0.0,0.1965346854241854,17.55506019372091,0.0,0.429475,2.444,0.397940758196844
Moosewood Lentil Soup,65.16792329883421,58.61947001972919,0.0,401.5307934190244,3.4794730933995,479.0872714479447,6.690256257500361,57.46399530482934,2.9345814714537304,297.56569869305605,877.7158190601318,24.55172887962724,0.2383980531709762,0.4127228200142667,232.76312221825597,0.8782242824382342,12.098822965418991,0.0,192.69010987199255,0.0,0.619538232188866,12.971312759317174,0.0,1.4456787790576031,16.397104488990777,3.318505163241155
Penne Pasta with Broccoli and Cheese,153.2044235578458,46.533634109456905,6.008868355681575,290.8805901353157,3.5391619495807785,94.92090030784117,1.9786823331946537,67.08310222728961,2.6705843952514425,244.34909955655544,575.0500403679949,14.62218115179878,0.2433058791933197,1.3317502414665237,202.5962890905396,0.1517518648074445,4.518574291992187,0.0,1038.972359764973,0.0743531250037713,0.3236768399873692,106.72195164036452,0.0309804687515714,0.1023405537488515,3.3538592354321226,1.5572215696352698
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,30.699212542593525,19.23570434237249,2.5471201578762432,231.7019128597348,16.174408959487415,34.68328289824561,0.5545585938586597,11.14458702999774,0.8324068463556124,44.141244750875096,71.73130740093887,2.7057804039635727,0.1006156809628455,2.221379472209661,67.7872705044051,0.1302941906477994,0.867371622930301,0.0744111083878013,8.573965029100355,0.0629193907661628,0.025160948294031,0.7260466069012386,0.0791028352861723,2.5283308032266225,10.478784800905403,0.3135351092889721
Slow Cooker Chicken and Dumplings,92.90019489355954,20.356543106656364,128.4666675364971,420.8387576781568,20.99881343628829,42.10970922353035,2.5547594361416315,51.74508534977257,14.210374576069572,370.922752421205,577.3743995030593,35.2011522204564,0.3712136705556825,8.316891787543621,915.6369069009588,0.2377636699426298,0.924981277566344,0.00952,128.11625345342586,0.3203600010359287,1.1451775845915153,2.0270833937591783,0.0,1.5483637734474531,13.152573308817118,1.4302516978221351
Stir Fried Cabbage and Tomatoes,59.16614962333,14.225950000000005,0.0,71.48599999999999,0.37825,21.5475,0.790709391848625,21.24107792613916,1.028945,69.425,418.0966822266333,2.7452,0.0655795,0.058265,407.1607697629199,0.0967325,2.09925,0.0,54.0575,0.0,0.4140799999999999,26.06,0.0,0.813125,13.23,0.5111047043110166
Strawberry and Nutella Cobbler,268.2547254004211,85.94817363562892,101.64987732748074,716.9175241652794,36.90882748027204,44.958226128142094,1.9162690082126248,40.1918955806058,1.10021829624485,373.6582752733528,366.9315310358454,8.334647097684734,0.2408132776647925,24.275668146424472,601.7873688642293,0.1074284639065798,4.243600055599061,1.115449981292709,371.0410287493483,0.1772290308360748,0.1166951428166567,71.09973386191582,1.4392902984422054,1.812325273921272,5.877913941012157,0.8158268909384254
Swiss Chard Wraps,55.42062565781242,5.644266776794194,0.0,156.8450023083389,12.749466822800038,81.62166884750128,1.7538924666772686,74.90230111991677,1.4782583699233829,86.64166835784913,673.5271658740692,3.380266732376814,0.1801466703769564,2.0278916909497973,172.1176402288387,0.1012150022117793,5.030666787043214,0.0,233.88500149860977,0.0,0.3791816756425797,84.0603352881372,0.0,3.1951833692505955,527.3527505779117,0.7453800499804966
Tropical Ice Pops,38.4432820444774,27.63563580361878,0.0,180.4169933467323,7.665994579902735,19.99531515614081,1.589722108861117,40.47571833219619,0.6174361474871927,57.21843134375221,208.75013085817687,0.9847407104651806,0.1970916623353958,6.046023377428943,16.13537199682178,0.044601665750479,1.0238888955116272,0.0,15.468750000000002,0.0,0.0649739636376676,20.97916536829577,0.0,0.251625,1.2993750000000002,0.6296792712036327
Tzadziki,333.37420288317355,21.21826663836143,90.20937733732168,545.2156987399476,47.73037757444964,36.85905716793452,1.4437179863064966,69.72524117893511,0.5139566568409298,294.7901130296682,826.2534536073367,10.533329899529894,0.4838323600765385,20.236969882494893,346.7977113624128,0.1565216730808581,1.7277125000000002,0.7184600659551389,306.12406758205384,0.7967521030995977,0.2483745911452066,10.91305761396552,1.117328375707302,3.6596908942645374,64.43465675141461,1.9206927707425117
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",4210.906208812565,183.07691394449947,468.38396324447245,2331.4323544863933,123.87111691250423,201.9549801972084,1.6419425630358775,374.9039595579252,3.427897173183489,3172.165194585853,4940.176132620941,120.40815734987562,6.403431585777983,70.19325715287447,1636.0144270122566,1.7303760804657888,0.042,0.0222040003895759,1753.2686150216723,16.938728183507077,1.3816339890358371,0.006,48.79813474649874,2.8867457267797008,11.411738785997464,14.086525845574709
Vegan Peanut Butter Chocolate Fudge,6.768000098705292,15.63038156294324,0.0,168.44306053730932,9.983621966278106,10.89733363234997,0.8474279479278506,28.450000446349385,0.6676366848096252,37.27800052034855,195.0246712557674,2.44370394740113,0.0404456676781177,0.5358213428084254,8.276889768540007,0.0181386671444773,3.834294253342524,0.0020000000596046,1.1570000344812872,0.0,0.1566676712407767,3.3553000999957323,0.0,0.2839333417147398,0.2683333393186331,0.3094233370751142
"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",100.43496592624508,38.66032661620333,26.66000079452992,486.96396067832,33.023778073965566,90.31889735337334,5.826632909940961,112.60301338543344,4.182375270380905,271.0501864001835,767.6097267747058,8.15830092205615,0.1822058156365402,14.884228352672654,380.16116424884007,0.2957093365548692,5.881370925179552,0.0030033334228396,208.41818945519316,0.0637833352342248,0.6226227508454848,106.48444179782778,0.1463096759742308,1.2231940393193346,223.55708969785243,1.9154002939732933
Wasabi Ice Cream (Wasabi Aisu),46.21054022171567,16.315323882460632,76.98412295144527,180.00664599708415,12.274101223737723,7.343014297331035,0.1350421751820765,5.390559678231152,0.0433728327183889,47.21620215305025,67.27736538679787,1.8080235936489224,0.0891171299471867,7.400649059057361,56.16755250198819,0.023050137002124,0.1584374999973213,0.0,117.66672112977254,0.1945359905103494,0.0319805160428171,1.0637151734231105,0.5620121734535094,0.4077288716835543,1.0190378606006496,0.2486155584647582
White Chocolate Cheesecake With Raspberries,69.78430907540698,21.0661358969043,92.76352272550322,319.1716469992689,23.534337473987588,17.071839953588846,0.6258632579165698,13.868048881490946,0.3277799130017608,72.31348465908071,130.80899749976334,4.284437990527349,0.150577542916509,13.848718783961251,120.39623798956455,0.0316323532386625,2.846258078970465,0.363227959079722,196.40094830489963,0.1822358033565494,0.0578021962210603,10.402121454159497,0.2814629512530131,0.9873731784096842,4.9625443034921055,0.4709501976289921
khichdi recipe,36.48185353373531,58.83015999999999,16.384,331.71025,7.20098,16.52875,2.585282304631341,42.17817501906514,1.5641410000000002,101.70425,258.06460132439616,5.6014125,0.06170525,4.1634905,999.7470727353516,0.0780795,1.6134749999999998,0.00126,83.538,0.00064,0.1989165,14.763250000000005,0.0,0.8007625,5.4211,1.104026015090108
